,Date,BTC_Close,BTC_Volume,S&P500_Close,50MA,100MA,RSI,macd,macdsignal,macdhist,20WMA,21WEMA,8WEMA,ETH_Close,Gold_Close,BTC_Tdy
1,2022-11-22,15787.28418,37429485518.0,3949.94,19003.359179720002,19711.196660189995,31.39543386209775,-943.9710866498972,-802.4816890973398,-141.48939755255742,20469.27645093572,20405.151362935838,18771.212246574545,1108.353027,1739.6,16189.769531
2,2022-11-23,16189.769531,30726828760.0,4003.58,18934.682968780005,19629.901015659998,35.91414960277502,-932.3157389263724,-828.4484990631463,-103.86723986322613,20440.702553057145,20348.186743585353,18680.635309185964,1135.173462,1739.9,16610.707031
3,2022-11-24,16610.707031,32958875628.0,4027.26,18860.160234400006,19554.638359409997,40.3400070353623,-878.9803156224552,-838.554862375008,-40.425453247447194,20412.577274035717,20297.68026098285,18608.006246793473,1183.199585,1745.6,16604.464844
4,2022-11-25,16604.464844,26129037414.0,4027.26,18789.035195340006,19481.850097689996,40.295564752799514,-827.6743856080211,-836.3787670216107,8.704381413589545,20376.626395128573,20247.771944537133,18537.70654844984,1203.983154,1745.6,16521.841797
5,2022-11-26,16521.841797,18678255976.0,4026.12,18720.363164100003,19413.708535189995,39.672548181491585,-784.6362574587256,-826.0302651090336,41.394007650308026,20339.417285192856,20197.421537137983,18466.974451907743,1198.925903,1754.0,16464.28125
6,2022-11-27,16464.28125,18000008764.0,4026.12,18658.711796920004,19346.22396488,39.21763125219647,-746.566927102911,-810.1375975078091,63.570670404898124,20302.789243900002,20146.973695419903,18396.7045149987,1205.897949,1754.0,16444.626953
7,2022-11-28,16444.626953,20443898509.0,4026.12,18599.272968800004,19301.894707069998,39.052961715405885,-709.8005076149893,-790.0701795292451,80.26967191425581,20271.247656285715,20096.9419826845,18328.210565454883,1195.126953,1754.0,16217.322266
8,2022-11-29,16217.322266,27743025156.0,3963.94,18534.6908985,19252.40732426,37.11214925795501,-691.0385812513487,-770.2638598736659,79.2252786223172,20244.438839321432,20044.51468921579,18254.14430933366,1170.086182,1740.3,16444.982422
9,2022-11-30,16444.982422,23581685468.0,3957.63,18480.76085944,19201.515937539996,40.31165192552053,-650.3030586216992,-746.2716996232725,95.96864100157336,20223.875041885713,19995.872361280442,18190.664944865814,1216.901245,1748.4,17168.566406
10,2022-12-01,17168.566406,29523576583.0,4080.11,18443.103828180003,19159.21251957,49.16426410161167,-553.2551027537775,-707.6683802493735,154.41327749559605,20202.135700364284,19957.665524046923,18154.801838238942,1295.688599,1759.9,16967.132813
11,2022-12-02,16967.132813,22895392882.0,4076.57,18399.297578180005,19113.602968789997,47.07128186868375,-486.9842546891232,-663.5315551373235,176.5473004482003,20176.401506728573,19917.252919843584,18113.129240862138,1276.273926,1815.2,17088.660156
12,2022-12-03,17088.660156,19539705127.0,4071.7,18353.412695360006,19070.539375039996,48.495855697991466,-419.8184830636601,-614.7889407225908,194.97045765893074,20149.632449807144,19879.028693305158,18077.182957182766,1294.303345,1809.6,16908.236328
13,2022-12-04,16908.236328,16217776704.0,4071.7,18307.864296920005,19023.612695349995,46.4950501651275,-376.8042552993975,-567.1920036379522,190.38774833855473,20119.046163535717,19838.882850530765,18036.16728598337,1243.334839,1809.6,17130.486328
14,2022-12-05,17130.486328,16824520830.0,4071.7,18269.121328160003,18992.317363319995,49.271469710936174,-321.0802391843863,-517.969650747239,196.88941156285273,20092.982896235717,19802.282897523593,18004.389006755882,1280.256592,1809.6,16974.826172
15,2022-12-06,16974.826172,22209086834.0,3998.84,18223.255976600005,18961.648242229996,47.415660558583,-286.18012231724424,-471.6117450612401,185.43162274399583,20053.619587085715,19764.074022854355,17968.26399501006,1259.676758,1781.3,17089.503906
16,2022-12-07,17089.503906,19889922369.0,3941.26,18174.030898460005,18936.375136759994,48.941443150358914,-246.42733263139598,-426.57486257527125,180.14752994387527,20008.620089314285,19727.931183437402,17937.430307676375,1271.653809,1782.4,16848.126953
17,2022-12-08,16848.126953,19675404389.0,3933.92,18124.305117200005,18901.876464879995,45.921141700484625,-231.7288374458294,-387.6056575493829,155.87682010355348,19963.02290739286,19689.014910053113,17899.209137336853,1232.4375,1798.0,17233.474609
18,2022-12-09,17233.474609,20496603770.0,3963.51,18086.183906260005,18876.243125029992,51.10852418071639,-186.83215398766697,-347.4509568370397,160.61880284937274,19920.657519557146,19655.831933011854,17875.85003107942,1281.116333,1801.5,17133.152344
